prompt,halu_test_res
Who was the architect initially commissioned to design the Civil Service Rifles War Memorial?,True
What is Fatboy's primary motivation for proposing to Mercy in April 2011?,False
"What was the highest 24-hour rainfall total associated with Hurricane Katia (2017) in Canseco, Veracruz?",True
What was the amount Andrew Rector sued for in the case Rector v. Major League Baseball Advanced Media?,False
What is the rate at which individual volcanoes drift southwest from the Anahim hotspot?,False
What was the fine Ryan Leaf incurred for skipping the final day of a mandatory symposium during his rookie season?,False
Who reportedly threatened to quit the Michigan Wolverines football team in response to Willis Ward being kept out of the game against Georgia Tech?,False
What was one factor attorney Garnham suggested might have influenced inaction in the Victoria Climbié case?,True
"Who was chosen as the tour director for ""The Onyx Hotel Tour""?",False
Where was Gebhard Truchsess von Waldburg born?,True
"What does ""Mrs. Beeton's Book of Household Management"" recommend boiling pasta for?",True
What was used as the basis for the substantial revisions Handel made to the opera Rinaldo in 1731?,True
What is the budget of the film Crazy Rich Asians?,False
What is the closest living land relative of whales and dolphins according to molecular and morphological research?,False
What does Cooper use to send the gravity equation solution to Murph?,False
What was Geoffrey Talbot's obligation for his lands in Kent?,True
Who won the 105th Boat Race in 1959?,True
What name was given to the tropical storm by the National Weather Service of Madagascar?,True
What device did María Teresa Ferrari design in 1924 that improved services for women in Brazil?,True
"On what date was the greatest hits album ""10"" by MercyMe released?",False
"What was the name of the Microsoft operating system released on September 14, 2000, that is often regarded as one of the worst versions due to stability problems and other issues?",False
Who was Eric Hacker's roommate during his time with the GCL Yankees?,True
What character does the player control in Super Punch-Out!!?,False
"What was Han Yueshuang's ranking in the women's 1,000 metres event at the 2010 Winter Olympics?",True
"Who provides a guitar solo on Kanye West's song ""Hold My Liquor""?",False
What is the official common name for Phylidonyris pyrrhopterus as designated by the International Ornithologists' Union (IOC)?,False
"What was the length of the final cut of the film ""Bhakta Prahlada""?",True
What is the official name of Washington State Route 529?,True
Who replaced Samuel Black as the leader of San Diego State University in 1910?,False
"Who composed the song ""No Debes Jugar""?",True
What is the name of the world's oldest surviving urban steam-powered cotton spinning factory located at Murrays' Mills?,False
Who won the Grammy Award for Best Male Rap Solo Performance at the 45th Grammy Awards?,True
What was the original name of the street that later became known as Neyland Drive?,True
What time do schools in Malta generally start their school day?,True
What was the total gross revenue for the Circus Starring Britney Spears tour according to Pollstar's Top 50 Worldwide Concert Tours of 2009?,False
"What video ranked as the ninth-most popular upload on YouTube in 2014 based on ""views, shares, comments, likes"", and other factors?",True
What is the maximum distance ruffed lemur calls can be heard?,True
What is the primary diet of the Guianan cock-of-the-rock?,False
What squad number was Shay Given assigned when he signed for Manchester City?,True
What is the name of the shop located near the entrance of WhiteWater World?,True
"Who provides the voice of the Silver Surfer in ""Fantastic Four: Rise of the Silver Surfer""?",False
Which bomber aircraft alerted the Milne Bay GHQ about the approaching Japanese convoy on 24 August?,False
Who was the New Jersey Devils' goaltender honored with the Calder Memorial Trophy as the NHL's top rookie during the 1993–94 season?,False
What is the name of the highest summit in the Mount Cayley massif?,True
"What is the title of Sandra Cisneros' first novel, published in 1983?",False
What is the artistic style of Södermanland Runic Inscription 113?,True
What is the snout–vent length range of the Mini mum frog species?,False
What is Nicole Esdaile's classification level in goalball?,True
"What term does the book use in place of ""said""?",True
"What was the Nielsen rating/share for the 18–49 demographic for the ""Give Peace a Chance"" episode?",True
What was the original name planned for the Paramount Theatre in Atlanta?,False
"What was the original title of ""Cold"" when it premiered?",True
"As part of the MetroWest scheme, which platform at Pill railway station will be resurfaced and provided with a waiting shelter?",True
What avenue did Business US Highway 23 use to cross the Saginaw River in Bay City before terminating at US 23 (Euclid Avenue)?,True
Who unveiled the Lancashire Fusiliers War Memorial?,True
Who missed the final penalty kick for Sheffield United in the playoff final against Huddersfield?,False
What was the original name of the ship that the Romanians renamed Mărășești when they re-purchased it in 1920?,True
What was the peak wind speed of Hurricane Edith?,True
What average score did Weezer's Green Album receive on Metacritic?,False
Who was the head coach of the 1906 Vanderbilt Commodores football team?,False
Who clinched the pole position during qualifying for the 2010 Heluva Good! Sour Cream Dips at the Glen?,True
What is the name of the historical atlas Yang Shoujing is best known for?,False
Who becomes the new assistant coach for Seishu after Ichiyo agrees to marry him if Seishu makes it to Koshien?,True
"What option was added as a third help in the sixth episode of the American game show ""1 vs. 100""?",False
What does the contestant receive if they accept the central character's secret at the end of the game?,True
What is the musical style of The Now Now described as by Pitchfork?,True
What was the estimated death toll caused by the 1931 British Honduras hurricane?,False
Who was Áedán mac Gabráin ordained as king by?,False
What is destroyed in the film's finale that contains a recently deceased person in an intimate act?,True
Who was the sponsor of USS Cincinnati (CL-6) during its launching?,True
What was the duration of Fernando Vásquez's term as minister of mining and metallurgy?,True
What was the first mobile game released by Defiant Development in 2010?,False
What sport did Gesche Schünemann play for BG Baskets Hamburg?,False
"When did Fagernes Airport, Leirin open?",False
Where did New York State Route 99 end?,True
"Which song did Mike Wass describe as a ""heartbreaking letter"" and his personal favorite on the album?",True
What is the name of the Russian artist who painted Fresh Wind. Volga?,True
What was the minimum pressure recorded for Cyclone Hondo after reanalysis?,False
What position did Paul Wurtsmith hold when he arrived in Australia with the 49th Pursuit Group in February 1942?,False
"Who plays the character of Dr. Arun Kumar in ""7 Khoon Maaf""?",True
What role did Len Davies take over during the 1925–26 season after the signing of Hughie Ferguson?,True
Who won the race at the Hockenheimring during the 2001 International Formula 3000 Championship?,True
What was Warcraft Adventures: Lord of the Clans competing with when it appeared technologically dated?,False
Who did the Philadelphia Phillies acquire Prince Oana from in November 1933?,True
Who did Lex Luger agree to face at SummerSlam 1994 to settle the argument about joining Ted DiBiase's Million Dollar Corporation?,False
"Who provided backing vocals on the song ""Evil Has No Boundaries""?",True
Who led the force of English longbowmen across the ford during the Battle of Blanchetaque?,True
What did Diane Schuur record at her first recording session in California?,True
What position did Ruth Hanna McCormick assume in 1913 for the National American Woman Suffrage Association?,False
Who is Charlene Robinson's half-brother?,True
Where did Dulquer Salmaan make his acting debut?,False
What was the name of the Republican Governor of North Carolina who declared areas in a state of insurrection during the Kirk–Holden war?,False
What was the marketed price for the penthouse on floors 81 and 82 of 53 West 53?,True
What title was Esparza's given by The Oregonian in 1992?,True
What field did L. Ron Hubbard claim to have studied at George Washington University that laid the foundation for his later philosophical research?,True
What was the main battery armament of SMS Hagen?,True
Who voiced the character Kreia in the game?,False
What is the name of the fictional golf course featured in the 1995 video game Golf?,True
"Who is credited as the sole lyricist for the songs ""Yi"" and ""iMi""?",False
What does Nina do to make Jack jealous at the Lassiter's Ball?,True
Where was Theodore Paleologus (Junior) buried?,True
When did the Hunts Point Avenue station open?,True
Who was the first former player to become head coach of the North Carolina men's basketball team?,True
What was the name of the dynasty that ruled Ruyan until its conquest by the Safavids?,True
"What type of game is ""Final Fantasy Crystal Chronicles: My Life as a King""?",False
What percentage of royalties did Epstein successfully renegotiate the contract to in August 1964?,True
When did Hurricane Madeline reach its peak sustained winds?,True
What highway intersects with MD 170 at a diamond interchange?,False
What type of fungus is Hydnum repandum?,True
What type of vessel was the Kateri i Radës identified as by the Zefiro?,True
What was Robert A. Little's squadron nickname?,True
What is the sole food source for the tansy beetle within the York distribution?,False
What behavior increases in frequency in many species during estrus as seen in ovulatory shifts?,True
What was the most powerful bureau within the Grand Quartier Général?,True
"What aspect of Resident Evil 7 did critics particularly praise for its execution, considering it contributed to the game's overall sense of tension and anxiety?",True
What was the suspected cause of the smooth-edged holes found in the jaws of Albertosaurus?,False
What term does the Elf Haldir use to refer to the area in the deepest part of Lothlórien?,False
Who was captured after the Battle of Neville's Cross despite being badly wounded?,False
What year was San Sebastian Church completed?,False
What organization reported 37 cases of Tide Pod ingestion among teenagers in January 2018?,False
In which year was the current form of Michigan's M-216 highway finalized?,True
"What was the first character designed for ""Butterfly Soup""?",False
In what year was the USS Chickasaw sold after being placed in reserve?,True
What club did Sheffield United form a reserve team called during the 1891–92 season?,True
What was the peak intensity of Tropical Storm Rachel in terms of wind speed?,True
What role did Vauban serve in from 2 August 1894 to 5 February 1895?,True
What record label did The Buffalo Club release their self-titled album on in 1997?,True
How many battle stars was the USS Wichita (CA-45) awarded for her service during World War II?,True
Who was named the player of the tournament in the 2016 Women's Cricket Super League?,True
Which route became preferred for passenger and freight service to the north after a wye was constructed at North Chelmsford in 1930?,True
"What did Univisión name as ""a true collector's item"" related to Arjona?",True
What are the names of Lucy Fallon's older sisters?,True
Who signed the dedication for the Whiteface Mountain highway in 1929?,False
What is the species name of the Trinidad euphonia that commemorates its type locality?,False
What is the current eastern terminus of M-124?,True
What is the profession of Yusuke Ono in Antique Bakery?,False
Where was Kathleen Marie Karpan born?,True
What is the color of the iris in the black-backed forktail?,False
What was the name of the steamship that first ran a service to Wollongong before the establishment of the Illawarra Steam Packet Company?,True
What year did Cloverbank Elementary School open?,True
"Who operated the first scheduled, multi-show, and completely public film screenings in Venezuela in 1896?",True
Who was Ada de Warenne's husband?,False
"Who directed the music video for ""We're Not Makin' Love Anymore""?",False
What was the beam measurement of the Andrea Doria-class battleships?,False
What illness caused Martini Maccomo's death on 11 January 1871?,False
What was the intended role of the Nord 2200?,False
Which Hindu texts mention themes of gender variance and non-heterosexual sexuality in their narratives?,False
Who confronts Leonard Vance with a ghostly vision accusing him of betraying the church and committing murders?,True
What was the ultimate fate of HMS Barfleur after being listed for disposal in 1909?,False
What is the title of the 1947 book by Paul Goodman that analyzes Franz Kafka and his works?,False
"Who assumes the role of God of War after defeating Ares in ""God of War (DC Comics)""?",True
Where did U.S. Route 161 end according to the reference?,True
"When was ""Heartbreaker"" by Justin Bieber released as a single?",False
What river does Washington State Route 530 follow into the rural Arlington Heights area?,False
"What are the green, spiky circles called in Agar.io that split cells into smaller cells when consumed?",False
What was the cruising speed of the North American XF-108 Rapier?,False
What is the official common name designated by the International Ornithologists' Union for Haematortyx sanguiniceps?,False
Who performed the national anthem before the 2010 Toyota/Save Mart 350 race?,True
What date was Pattern Recognition released?,False
What building is located to the southwest of US 22 in Readington Township?,True
Who was the fastest driver in the third practice session of the 2015 Spanish Grand Prix?,False
"What certification did ""My Love"" receive from the RIAA?",False
What was the budget of the Getty Foundation for the 2006–07 period?,False
On which continents are tyrannosaurid fossils exclusively found?,False
Who won the Final Fantasy VII category in the music video competition held by OverClocked ReMix?,True
What is the title of the 16th episode of the second season of Fringe?,True
What is the height of Arrivé?,True
What is the length of K-34?,True
What is the length of Illinois Route 103?,True
What rank was Frank Bladin appointed as in the Order of the British Empire on 1 January 1943?,False
What was the peak wind speed of Cyclone Hondo?,True
What type of engine powered the original Supermarine Sea King?,True
What is the title of the second episode of the seventh season of The Office?,False
When was the first volume of the Speed Grapher manga released in English by Chuang Yi?,True
What regiment spearheaded the pursuit after Confederate resistance north of the river was broken?,True
What is the title of Madonna's album released in 1998?,False
"When did ""Bruno Mars: 24K Magic Live at the Apollo"" air?",False
"What position did ""Like I'm Gonna Lose You"" peak at on the US Billboard Hot 100?",False
What is the specific epithet of the forest cobra?,True
Who was Hergé's assistant during the production of Cigars of the Pharaoh?,True
What was the number of civilians killed during the Široka Kula massacre?,True
What type of pitcher did Gene Bearden primarily become in the major leagues?,True
What was the primary objective of the Austrian army during the Siege of Mantua in 1799?,False
When was Jabari Parker traded to the Washington Wizards?,False
What nickname was given to Joe Mullen by Penguins' play-by-play announcer Mike Lange?,True
In how many countries has Psilocybe semilanceata been reported?,True
Who was acknowledged to be the Greatest Dancer in the World in 1845?,True
Who was the first editor-in-chief of Portland Monthly?,True
"What French short film inspired ""12 Monkeys""?",False
What was the water depth at the Macondo Prospect where Deepwater Horizon commenced drilling?,False
Who were the two teams that contested the MLS Cup 1999?,False
What was the estimated average weight for male P. robustus?,False
What age did Tchaikovsky begin piano lessons?,False
What title was given to the ruler of the Kingdom of Nri?,True
How many U-boats were actually laid down from the U-48 class?,True
"When was the album ""Burning at Both Ends"" released?",True
What was the average weight of the Cambridge crew in the Boat Race 1920?,True
What was the average weight of the Oxford crew in the 1865 Boat Race?,True
What was the length of SMS Deutschland?,True
What is the title of John Thomas Douglass's composition that is regarded as the first opera written by a Black American composer?,True
What class of cruiser was Francesco Ferruccio?,True
What is the title of the second studio album by the musical supergroup Tomahawk?,False
What was the southern junction of Ontario Highway 46?,True
What was the name of James Wood Bush's older brother?,True
What is the title of the sixth episode of the fourth season of Family Guy?,True
Who were the teams that competed in the 2014 Football League Two play-off final?,True
What was the name of the squadron under Contre-Admiral Zacharie Allemand during the 1805 expedition?,True
"Who directed the Star Trek: The Next Generation episode ""Rascals""?",False
In which film does Han Solo win the Millennium Falcon from Lando Calrissian during a game of Sabacc?,False
What is the name of the mysterious white-haired individual who appears to Hibiki and Yamato?,True
What is the name of the wishing star that Wish Bear befriends?,False
What was Muhammad-Ali Abdur-Rahkman's career-high points scored in a game against Purdue during his sophomore season?,True
Who is the main protagonist of .hack?,True
What is the title of the 1960 Japanese film directed by Koreyoshi Kurahara?,False
What was the last phonetic alphabet used to name tropical cyclones in the 1952 Atlantic hurricane season?,True
"Who is the author of ""The War Within""?",True
What was the title of the seventh episode of the sixth season of Better Call Saul?,True
"What did T. S. Eliot call the poem ""Danny Deever""?",True
What was the first project by Legend Entertainment to take advantage of CD-ROM technology?,True
"What is the name of the player's ship in ""Star Wars Knights of the Old Republic II: The Sith Lords""?",False
What law school did Ling Woo graduate from?,True
What aircraft did Mato Dukovac commandeer to defect to the Kingdom of Italy?,True
What is the name of the road that New York State Route 61 is known as?,True
What type of radar is the EL/M-2080 Green Pine?,False
How many civilians were in NASA Astronaut Group 5?,True
What is Kamadhenu often associated with in Hindu religion?,True
Who replaced Arda-Mulissu as heir apparent in 684 BC?,False
What was Hesketh Hesketh-Prichard's best bowling figures in first-class cricket?,True
What ship did the 2/18th Battalion embark upon to leave Sydney for Singapore?,True
"What is the approval rating of ""Chef"" on Rotten Tomatoes based on 191 reviews?",False
"What year was ""Echoes"" released on the album Meddle?",False
What was the maximum wind speed of Hurricane Belle when it reached its peak intensity?,True
What is Alexander Shulgin commonly referred to as due to his contributions to psychedelic research?,True
What rank did Antony Gibbs achieve in the North Somerset Yeomanry?,True
"What is the meaning of the name ""Bree""?",True
What type of sword is primarily used to kill humans in The Witcher 3: Wild Hunt?,False
"What was the title of the remix of ""Hollywood"" performed with Missy Elliott for GAP?",True
What is the term used in Chinese for semi-oxidized teas?,True
What is the title of Eckhart Tolle's first book published in 1997?,False
"What rank was James Stewart promoted to on July 23, 1959?",False
In which years did Durham University win the tournament mentioned in the reference?,True
What is the hybrid called that is created from a lion and a leopard?,True
What type of regimes are most likely to engage in irredentist conflicts according to Siroky and Hale?,True
What was the title of Tristan Tzara's earlier work performed at the March 1920 variety show?,True
What year was Route 108 designated?,True
What classification was assigned to USS Hawaii when it was planned for conversion to an aircraft carrier?,True
What is the primary time of day when R. fugax adults emerge?,True
Who were Belle's supervising animators?,True
What is the type species of the genus Podoserpula?,True
What color is the peppered maskray above?,True
What was the first Soviet aircraft to use tandem landing gear?,True
"What local name was assigned to Typhoon Joe by the Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA)?",True
Who designed the torches for the 1948 Summer Olympics?,True
What title was conferred upon Keiji Nishioka by the Druk Gyalpo in 1980?,True
What was the former designation of the portion of Jamison Road that is now County Route 574?,True
Who scored Ipswich Town's first goal in the 1980–81 FA Cup against Aston Villa?,True
"What was the primary early industry in Meander, Tasmania?",True
"When did the music video for ""Chasing Time"" premiere on MTV?",True
What military action did the British plan for March 1801 regarding the French garrison in Egypt?,False
"Who created ""What It's Like Being Alone""?",True
"What category hurricane was Paul upgraded to at 18:00 UTC on October 15, 2012?",True
What innovative product did Angela Farmer create in 1967?,False
"Who is the character that decides to rob Mrs. Eldridge in ""She's Done it Again""?",True
What metal is the Hallaton Helmet primarily made of?,True
What was Johnny Marcum's nickname that referred to his large feet?,True
Who published Lumines: Puzzle Fusion in Japan?,True
What is the average length of the orange-headed tanager?,True
What record does Chris Massey hold at Princeton for consecutive games with a goal?,True
What happens to Lupo the Butcher after he accidentally cuts off his own thumb?,True
What is the chromosome number of the diploid sporophyte of Asplenium platyneuron?,True
What was Doug Ring's highest wicket tally in a Sheffield Shield season for Victoria?,True
Who trained the British Thoroughbred racehorse Wizard?,True
"What theme involves a ""monstrous mother figure"" in the trilogy of ""Reptilia""?",True
What rank was Oswald Watt promoted to in September 1916?,False
What is the name of the character who dies after being crushed under a piece of the plane?,True
Who is the current leader of Rubrum in Final Fantasy Type-0?,True
What is the title of the compilation album released by Ricardo Arjona on 21 August 2007?,True
Who was the head coach of VPI during the 1966 Liberty Bowl?,False
When did Teresa Mañé die?,True
What is the release date of the album Futures?,True
Who was the last known surviving veteran of the Canadian military to have served in the First World War?,False
"What high imperial office did Apion II, also known as Strategius Apion, obtain?",True
What year did North Kesteven District Council approve the £50 million development of Bass Maltings?,True
When did principal photography for NH10 start?,True
What is the name of the road where US-60 turns off in downtown Enid?,True
"What phrase did Bruno Mars and Anderson .Paak start saying that inspired their song ""Smokin out the Window""?",False
"When was ""The Last of the Masters"" published in Orbit Science Fiction?",True
What is the diameter of Long Island?,True
How many playable fighters are featured in Marvel vs. Capcom: Clash of Super Heroes?,False
What eventing discipline does Karen O'Connor compete in?,False
"What year did Fred Moosally file a lawsuit against the author of ""Glimpse of Hell""?",True
"What song does Billie Eilish perform first in ""Happier Than Ever: A Love Letter to Los Angeles""?",False
"What location is set for the music video ""Please Me""?",True
What is the approximate rotation period of 4337 Arecibo?,True
"What ranking did Entertainment Weekly give to ""Bionicle: Mask of Light""?",True
What crime was Pam Hupp charged with in July 2021?,False
"Who directed ""Fire Emblem: Shadow Dragon and the Blade of Light""?",True
What is the parity of zero?,False
"What type of song is ""Thinkin Bout You""?",True
What is the elevation of Mount Jackson?,True
"What date did Billie Eilish first perform ""Happier Than Ever"" on The Tonight Show Starring Jimmy Fallon?",True
What does Mr. Burns do that causes Grampa to feel heartbroken?,True
What title does the Hero receive for their bravery after defeating Zoma in Dragon Quest III?,True
What was the first QIZ designated in Jordan?,True
What century is believed to be when the Banker horses arrived on the barrier islands?,False
What instrument did Tomo Miličević start taking lessons for at an early age?,True
What was the apparent magnitude of Eta Carinae at its brightest in 1843?,True
"What team did the Royals trade Mark Gubicza to on October 28, 1996?",True
What title did Jovan Babunski hold after joining the Chetnik band in 1905?,False
"What certification did ""Little Things"" receive from the Recording Industry Association of America (RIAA) on 9 May 2013?",True
"What film's storytelling style is parodied in ""22 Short Films About Springfield""?",False
What is the scientific name of the Ethiopian hare?,False
What was the total prize fund for the 1976 World Snooker Championship?,True
What was the maximum sustained wind speed of Hurricane Fox when it peaked as a Category 3 hurricane?,True
Who was the captain of Manchester City when they won the FA Cup in 1904?,True
"Who was the lead actor in the film ""Enthiran""?",False
What town does the River Welland form a border between Lincolnshire and Cambridgeshire?,True
What was the date on which the government announced the decision to send households the Pro-EU leaflet?,True
"What was the title of the album conceived as an extension of ""Good Vibrations""?",False
What was the official designation of the division Phleps was selected to organise?,True
